OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ASNARO,2014-070A,2026-05-26T22:55:31.931616,15.19740150,.00033139,97.3456,223.6402,194.5111,165.6030,0,U,40298,999,64078,.36145238E-3,.7663E-4,0
YAOGAN-24,2014-072A,2026-05-26T22:25:09.361632,14.76189745,.00133943,98.1454,284.0960,337.1307,22.9304,0,U,40310,999,62058,.9200353E-4,.584E-5,0
CBERS 4,2014-079A,2026-05-26T23:41:32.426304,14.35501587,.00021023,98.3546,204.4824,88.4744,271.6683,0,U,40336,999,60091,.14491604E-4,-.1E-7,0
YAOGAN-26,2014-088A,2026-05-26T23:31:59.900160,15.46391431,.00066814,97.0642,147.7011,113.6302,246.5650,0,U,40362,999,63442,.59532927E-3,.29438E-3,0
SMAP,2015-003A,2026-05-26T22:50:05.984160,14.63344506,.0001263,98.1278,154.3473,87.7994,272.3353,0,U,40376,999,60451,.93761745E-4,.437E-5,0
KOMPSAT-3A,2015-014A,2026-05-26T22:06:11.839104,15.52930482,.00550094,97.6884,136.7455,253.4220,106.0986,0,U,40536,999,61851,.38383712E-3,.25412E-3,0
SENTINEL-2A,2015-028A,2026-05-26T22:56:34.574208,14.30816385,.00010864,98.5685,222.1083,86.4962,273.6345,0,U,40697,999,57069,.27175592E-4,.28E-6,0
GAOFEN-8,2015-030A,2026-05-26T23:32:53.259072,15.45094191,.00076547,97.6923,339.0916,268.9503,91.0868,0,U,40701,999,60817,.51532988E-3,.24348E-3,0
CARBONITE 1 (CBNT-1),2015-032D,2026-05-26T22:28:47.882784,14.83513241,.00148203,97.6505,325.8958,10.6270,349.5255,0,U,40718,999,58619,.28482477E-3,.2297E-4,0
YAOGAN-27,2015-040A,2026-05-26T23:17:55.981248,13.16067025,.00074559,100.1146,134.2753,263.8978,96.1286,0,U,40878,999,51487,-.13792059E-2,-.566E-5,0
GAOFEN-9 01,2015-047A,2026-05-26T22:36:03.040704,14.82837157,.00266475,97.6289,183.6008,206.9031,153.0803,0,U,40894,999,57704,.12326325E-3,.952E-5,0
YAOGAN-28,2015-064A,2026-05-26T23:07:48.977184,15.27103379,.00091924,97.3041,285.6665,264.4591,95.5600,0,U,41026,999,58744,.29865992E-3,.7877E-4,0
YAOGAN-29,2015-069A,2026-05-26T23:49:29.343072,14.83065011,.00030417,98.0045,175.5917,89.6595,270.4967,0,U,41038,999,56748,.51013834E-4,.361E-5,0
KENT RIDGE 1,2015-077B,2026-05-26T22:40:54.467040,15.22980826,.00084352,14.9803,63.9399,299.0377,60.9100,0,U,41167,999,57785,.14653975E-3,.4315E-4,0
GAOFEN-4,2015-083A,2026-05-26T19:36:00.815040,1.00271284,.00041089,0.3042,83.6748,115.2898,85.0973,0,U,41194,999,3831,0,-.331E-5,0
JASON-3,2016-002A,2026-05-26T22:53:54.144096,12.87627450,.00085543,66.0390,170.4762,273.4963,86.5077,0,U,41240,999,48451,.10976483E-3,-.34E-6,0
SENTINEL-3A,2016-011A,2026-05-26T21:31:47.548704,14.26739410,.0001239,98.6255,214.5854,108.6046,251.5269,0,U,41335,999,53502,.67033345E-4,.119E-5,0
ZIYUAN 3-02 (ZY 3-02),2016-033A,2026-05-26T22:41:11.138784,15.21236820,.00128379,97.3841,223.1261,10.7144,349.4363,0,U,41556,999,55475,.29122073E-3,.6448E-4,0
CARTOSAT-2C,2016-040A,2026-05-26T23:37:14.014272,15.19286723,.00092996,97.4496,207.2518,199.7968,160.2908,0,U,41599,999,55049,.18368711E-3,.3811E-4,0
SKYSAT-C1,2016-040C,2026-05-26T23:31:12.525312,15.35886013,.00044819,96.9579,179.8539,100.0186,260.1565,0,U,41601,999,55461,.29067528E-3,.10083E-3,0
LAPAN-A3,2016-040E,2026-05-26T23:27:43.066656,15.32950891,.00122503,97.1483,143.8236,91.7912,268.4734,0,U,41603,999,55156,.12344955E-3,.3862E-4,0
