OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ANIK F1R,2005-036A,2026-05-26T22:00:36.036000,1.00271453,.00042792,4.2605,76.8396,356.3622,34.1191,0,U,28868,999,4624,0,-.71E-6,0
SYRACUSE 3A,2005-041B,2026-05-26T21:01:49.389312,1.00280738,.00032043,4.5894,76.0932,343.0969,187.1039,0,U,28885,999,7553,0,.133E-5,0
INMARSAT 4-F2,2005-044A,2026-05-26T09:43:22.228032,1.00273228,.00030786,5.0676,43.7387,21.1994,108.3737,0,U,28899,999,7530,0,-.259E-5,0
METEOSAT-9 (MSG-2),2005-049B,2026-05-26T21:01:34.412736,1.00275490,.00015687,9.3158,54.3780,328.0037,223.1312,0,U,28912,999,678,0,.125E-5,0
EUTELSAT 174A,2005-052A,2026-05-26T16:30:10.461312,1.00273319,.00064448,4.1674,76.7874,344.6975,244.2973,0,U,28924,999,5211,0,.13E-6,0
ECHOSTAR 10,2006-003A,2026-05-26T10:01:07.164192,1.00271836,.00019232,0.0276,26.1735,2.8778,255.0232,0,U,28935,999,7424,0,-.53E-6,0
SPAINSAT,2006-007A,2026-05-26T09:45:05.763744,1.00272965,.00050171,0.5085,86.8820,335.5453,297.6229,0,U,28945,999,7400,0,-.214E-5,0
JCSAT-5A,2006-010A,2026-05-26T23:08:53.512800,1.00271967,.00020049,1.0564,84.4464,349.0841,290.2822,0,U,29045,999,7355,0,-.323E-5,0
ASTRA 1KR,2006-012A,2026-05-26T22:36:42.146208,1.00274694,.00035742,0.4207,83.1415,342.1207,177.4365,0,U,29055,999,4548,0,.124E-5,0
GALAXY 16 (G-16),2006-023A,2026-05-26T13:29:43.137312,1.00264993,.00032593,0.0156,86.4939,344.3413,276.7201,0,U,29236,999,7275,0,0,0
EUTELSAT 33F,2006-032A,2026-05-26T10:41:55.752288,1.00275581,.00036753,1.6075,82.4758,340.0357,15.1140,0,U,29270,999,4708,0,.159E-5,0
JCSAT-3A,2006-033A,2026-05-26T23:07:46.120800,1.00272104,.00019909,0.0295,59.2761,345.7598,314.4280,0,U,29272,999,4752,0,-.34E-5,0
KOREASAT 5 (MUGUNGWHA 5),2006-034A,2026-05-26T23:03:31.527648,1.00270616,.00019598,1.7326,83.2372,13.3344,246.8850,0,U,29349,999,4110,0,-.353E-5,0
DIRECTV 9S,2006-043A,2026-05-26T22:02:20.867712,1.00271701,.0004973,2.3680,81.1506,356.0792,36.6441,0,U,29494,999,5117,0,-.109E-5,0
OPTUS D1,2006-043B,2026-05-26T21:31:53.787648,1.00272034,.00038251,2.9822,79.9092,341.2238,298.2891,0,U,29495,999,7190,0,-.179E-5,0
BADR-4,2006-051A,2026-05-26T22:38:49.442784,1.00277638,.00049007,1.9522,81.3371,329.5227,199.7998,0,U,29526,999,5105,0,.151E-5,0
WILDBLUE-1,2006-054A,2026-05-26T21:59:28.643136,1.00272673,.00016648,2.7504,80.7418,344.9568,37.4524,0,U,29643,999,5358,0,-.45E-6,0
SKYNET 5A,2007-007B,2026-05-26T19:33:01.102176,1.00272253,.00039945,5.2476,73.9942,358.6775,200.2035,0,U,30794,999,7048,0,-.268E-5,0
ANIK F3,2007-009A,2026-05-26T21:57:21.347424,1.00273029,.00028267,1.1444,84.0912,342.1866,28.8382,0,U,31102,999,4635,0,.3E-7,0
ASTRA 1L,2007-016A,2026-05-26T20:41:39.522336,1.00272844,.00052431,1.2688,81.7394,352.4360,96.1680,0,U,31306,999,4477,0,-.18E-5,0
GALAXY 17 (G-17),2007-016B,2026-05-26T22:06:57.924864,1.00272541,.00046663,2.9207,80.1609,2.9259,48.1417,0,U,31307,999,6959,0,-.202E-5,0
INTELSAT 11 (IS-11),2007-044B,2026-05-26T15:00:45.186336,0.99049640,.00008883,3.5114,78.9229,76.3843,174.5962,0,U,32253,999,6823,0,.6E-6,0
WGS F1 (USA 195),2007-046A,2026-05-26T08:37:46.103232,1.00271744,.00003667,0.0591,95.9796,300.6214,294.2727,0,U,32258,999,5211,0,-.265E-5,0
SKYNET 5B,2007-056B,2026-05-26T22:38:26.978784,1.00269832,.00038522,5.1998,73.7519,347.0481,188.4134,0,U,32294,999,6798,0,.144E-5,0
ASTRA 4A,2007-057A,2026-05-26T22:32:35.041344,1.00269469,.00024534,0.0149,317.5628,107.7202,162.1805,0,U,32299,999,5143,0,.37E-6,0
HORIZONS-2,2007-063B,2026-05-26T22:10:12.614304,1.00272196,.00040228,2.5494,80.8807,345.7270,76.6569,0,U,32388,999,6760,0,-.249E-5,0
THURAYA-3,2008-001A,2026-05-22T19:02:21.628032,1.00211708,.00030597,5.9489,35.7739,119.6380,108.9740,0,U,32404,999,6723,0,-.299E-5,0
THOR 5,2008-006A,2026-05-26T22:31:05.185344,1.00273959,.0002704,0.0241,259.9054,175.0183,146.6170,0,U,32487,999,6710,0,-.4E-7,0
AMC-14,2008-011A,2026-05-24T17:45:13.724352,1.00349679,.00483033,23.9746,20.7664,90.0743,96.0893,0,U,32708,999,6793,0,0,0
DIRECTV 11,2008-013A,2026-05-26T13:29:35.649024,1.00272675,.00004697,0.0047,118.8586,263.4685,325.0142,0,U,32729,999,4537,0,-.123E-5,0
ICO G1,2008-016A,2026-05-26T08:39:21.531168,1.00271018,.00021782,5.5330,36.2104,14.0981,230.6051,0,U,32763,999,6632,0,-.172E-5,0
VINASAT-1,2008-018A,2026-05-26T23:08:53.512800,1.00269670,.00016262,0.0144,306.0138,130.4564,287.2353,0,U,32767,999,6637,0,-.324E-5,0
STAR ONE C2,2008-018B,2026-05-26T22:12:42.374880,1.00273152,.00028335,1.1887,82.6454,340.1818,89.8477,0,U,32768,999,6644,0,-.272E-5,0
AMOS-3,2008-022A,2026-05-26T22:37:57.027360,1.00465743,.00013664,0.4023,86.5282,53.8698,107.2524,0,U,32794,999,8212,0,.154E-5,0
GALAXY 18 (G-18),2008-024A,2026-05-26T21:56:13.955424,1.00273540,.00031214,0.0390,106.8958,323.0495,20.5890,0,U,32951,999,4564,0,.29E-6,0
ZHONGXING-9,2008-028A,2026-05-26T22:57:32.101920,1.00272267,.00050282,0.7167,85.5939,313.7699,281.9286,0,U,33051,999,6582,0,-.244E-5,0
SKYNET 5C,2008-030A,2026-05-26T17:18:13.355424,1.00271796,.00040959,3.7362,77.2892,354.1857,54.6006,0,U,33055,999,6574,0,-.136E-5,0
TURKSAT 3A,2008-030B,2026-05-26T21:00:34.509024,1.00274249,.0005254,0.0494,91.2310,327.6143,182.7362,0,U,33056,999,5214,0,.15E-5,0
INTELSAT 25 (IS-25),2008-034A,2026-05-26T18:25:15.100032,0.99033262,.00016823,2.6552,80.5610,13.9892,283.4432,0,U,33153,999,6547,0,.5E-6,0
ECHOSTAR 11,2008-035A,2026-05-26T10:01:14.651616,1.00272522,.00024964,0.9508,84.4085,326.6898,233.4052,0,U,33207,999,5099,0,-.55E-6,0
SUPERBIRD-C2,2008-038A,2026-05-26T23:10:00.904800,1.00270202,.00058196,2.3083,81.5187,16.9152,269.5852,0,U,33274,999,10551,0,-.302E-5,0
INMARSAT 4-F3,2008-039A,2026-05-26T08:52:38.648928,1.00271546,.00027894,4.2751,31.5449,39.2949,208.2671,0,U,33278,999,4632,0,-.14E-5,0
NIMIQ 4,2008-044A,2026-05-26T20:25:11.102016,1.00270764,.00020141,0.0082,35.5116,24.0619,49.1601,0,U,33373,999,6477,0,-.216E-5,0
GALAXY 19 (G-19),2008-045A,2026-05-26T22:03:35.748000,1.00271358,.00031738,0.0436,117.9351,317.6863,42.7678,0,U,33376,999,6469,0,-.135E-5,0
ASTRA 1M,2008-057A,2026-05-26T22:36:49.633632,1.00269398,.00046558,0.2434,82.0367,9.9244,151.1534,0,U,33436,999,4552,0,.125E-5,0
EUTELSAT HOTBIRD 13C,2008-065A,2026-05-26T22:16:56.968032,1.00269452,.00041734,2.8978,79.4363,347.7426,101.2374,0,U,33459,999,4713,0,-.278E-5,0
EXPRESS-AM44,2009-007A,2026-05-26T22:28:05.471616,1.00271433,.0004247,3.4115,78.6480,339.2567,152.6132,0,U,33595,999,5207,0,-.85E-6,0
NSS-9,2009-008A,2026-05-26T19:58:06.197952,1.00271336,.00022735,1.2086,82.8502,331.8031,312.3318,0,U,33749,999,6330,0,.76E-6,0
TELSTAR 11N,2009-009A,2026-05-26T20:37:54.880608,1.00273007,.00027355,0.0173,354.8108,58.9749,102.5710,0,U,34111,999,4603,0,-.247E-5,0
WGS F2 (USA 204),2009-017A,2026-05-26T21:04:56.589600,1.00271802,.00012076,0.0176,333.1648,249.8775,35.1484,0,U,34713,999,4540,0,.72E-6,0
SES-7 (PROTOSTAR 2),2009-027A,2026-05-26T00:47:25.613376,1.00271348,.00007638,0.0784,82.9178,298.4698,342.3273,0,U,34941,999,6240,0,-.344E-5,0
MEASAT-3A,2009-032A,2026-05-26T21:34:08.571648,1.00271487,.00030446,0.0354,32.4511,30.5585,304.9848,0,U,35362,999,781,0,-.106E-5,0
GOES 14,2009-033A,2026-05-26T21:32:31.228224,1.00117130,.00019802,1.6375,83.2866,348.0279,290.1588,0,U,35491,999,637,0,-.193E-5,0
FM-5,2009-034A,2026-05-26T15:15:58.727232,1.00271945,.00005364,0.0131,289.1871,6.8360,91.0308,0,U,35493,999,4642,0,-.197E-5,0
TERRESTAR-1,2009-035A,2026-05-26T08:18:16.308576,1.00270714,.00027981,5.1741,48.8050,11.3447,197.3174,0,U,35496,999,6191,0,-.55E-6,0
ASIASAT 5,2009-042A,2026-05-26T14:30:54.750240,1.00272932,.00015375,0.0742,91.3949,316.6522,154.3763,0,U,35696,999,6149,0,-.304E-5,0
JCSAT-12 (JCSAT-RA),2009-044A,2026-05-26T23:08:53.512800,1.00272603,.00004185,0.0424,95.5570,261.1189,7.1093,0,U,35755,999,6139,0,-.323E-5,0
OPTUS D3,2009-044B,2026-05-26T21:33:08.667936,1.00270822,.00033837,0.8567,270.3260,156.5838,296.9701,0,U,35756,999,6135,0,-.142E-5,0
NIMIQ 5,2009-050A,2026-05-26T22:10:27.590016,1.00271064,.00031414,0.0173,302.6801,122.3370,79.3878,0,U,35873,999,6113,0,-.253E-5,0
AMAZONAS 2,2009-054A,2026-05-16T11:12:30.210048,1.00221129,.00045329,1.7333,83.3796,37.9482,220.0833,0,U,35942,999,6086,0,-.27E-5,0
