OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-37033,2026-099J,2026-05-26T22:00:01.999584,15.49284233,.0001325,53.1595,262.4094,59.5884,292.4982,0,U,68959,999,529,.44269397E-3,.24227E-3,0
STARLINK-36978,2026-099K,2026-05-26T22:00:01.999584,15.49285849,.00015727,53.1596,262.4486,48.1904,285.1719,0,U,68960,999,529,.38930984E-3,.21245E-3,0
STARLINK-36965,2026-099L,2026-05-26T22:00:01.999584,15.49284731,.00011571,53.1598,262.3612,67.4937,308.2863,0,U,68961,999,529,.45703818E-3,.2503E-3,0
STARLINK-36765,2026-099M,2026-05-26T22:00:01.999584,15.59680625,.00009493,53.1596,261.4650,64.4654,33.2567,0,U,68962,999,529,-.26528175E-1,-.1906248E-1,0
STARLINK-36764,2026-099N,2026-05-26T22:00:01.999584,15.59922976,.00011057,53.1595,261.4482,41.8361,64.5431,0,U,68963,999,529,-.26253118E-1,-.1904535E-1,0
STARLINK-36731,2026-099P,2026-05-26T22:00:01.999584,15.61855245,.00012605,53.1590,261.3697,54.7669,89.8414,0,U,68964,999,529,-.26304584E-1,-.2038214E-1,0
STARLINK-36664,2026-099Q,2026-05-26T22:00:01.999584,15.61763158,.00012264,53.1590,261.3665,54.8180,91.5387,0,U,68965,999,529,-.24843641E-1,-.1932339E-1,0
STARLINK-36402,2026-099R,2026-05-26T22:00:01.999584,15.53541725,.00008191,53.1599,261.6900,75.9201,270.8533,0,U,68966,999,529,-.33486424E-1,-.1909686E-1,0
STARLINK-36671,2026-099S,2026-05-26T22:00:01.999584,15.70161518,.00010195,53.1589,261.2171,71.5091,148.0099,0,U,68967,999,529,-.19851684E-1,-.214068E-1,0
STARLINK-36665,2026-099T,2026-05-26T22:00:01.999584,15.59420444,.00012173,53.1588,261.4059,54.2707,72.3980,0,U,68968,999,529,-.28897416E-1,-.2037106E-1,0
STARLINK-36303,2026-099U,2026-05-26T22:00:01.999584,15.67496283,.00010858,53.1591,261.2505,62.8624,140.7423,0,U,68969,999,529,-.12228893E-1,-.1217138E-1,0
STARLINK-37257,2026-099V,2026-05-26T22:00:01.999584,15.55151843,.00009328,53.1601,261.5800,67.6855,332.9142,0,U,68970,999,513,-.3149454E-1,-.190666E-1,0
STARLINK-37367,2026-099W,2026-05-26T22:00:01.999584,15.49284965,.00008023,53.1593,261.9074,64.8031,174.8041,0,U,68971,999,513,.43726384E-3,.23924E-3,0
STARLINK-37259,2026-099X,2026-05-26T22:00:01.999584,15.49287773,.00010217,53.1591,262.0948,85.4116,60.7437,0,U,68972,999,524,.4035054E-3,.2204E-3,0
STARLINK-37387,2026-099Y,2026-05-26T22:00:01.999584,15.49284843,.00011756,53.1593,262.4639,80.5362,243.6211,0,U,68973,999,524,.41535823E-3,.227E-3,0
STARLINK-37362,2026-099Z,2026-05-26T22:00:01.999584,15.49292508,.0000606,53.1592,261.9496,68.0313,150.3198,0,U,68974,999,524,.29307832E-3,.15875E-3,0
STARLINK-36667,2026-099AA,2026-05-26T22:00:01.999584,15.54134531,.00008295,53.1597,261.4996,75.4705,4.4853,0,U,68975,999,529,-.37420498E-1,-.2188756E-1,0
STARLINK-36735,2026-099AB,2026-05-26T22:00:01.999584,15.54098251,.0000909,53.1594,261.4917,69.4613,13.6793,0,U,68976,999,529,-.37419424E-1,-.2186168E-1,0
STARLINK-37371,2026-099AC,2026-05-26T22:00:01.999584,15.63620394,.00011231,53.1593,261.2001,71.9145,154.7956,0,U,68977,999,524,-.22976001E-1,-.192407E-1,0
STARLINK-37293,2026-099AD,2026-05-26T22:00:01.999584,15.55471331,.00009794,53.1589,261.4161,65.1253,55.2292,0,U,68978,999,524,-.36194127E-1,-.2220447E-1,0
STARLINK-36248,2026-099AE,2026-05-26T22:00:01.999584,15.49976957,.00010018,53.1598,261.7391,77.4469,243.8460,0,U,68979,999,529,-.1843335E-1,-.961779E-2,0
PEARL-1B,2026-100A,2026-05-26T16:41:53.157696,14.90467588,.0006283,97.7389,44.5071,207.8475,152.2408,0,U,68980,999,348,.17944278E-3,.1696E-4,0
IRIDE-MS2-HEO-7,2026-100B,2026-05-26T16:28:42.342816,14.91044915,.00036544,97.7386,44.5190,200.6712,159.4359,0,U,68981,999,349,.14092868E-3,.134E-4,0
IRIDE-MS2-HEO-10,2026-100C,2026-05-26T16:25:29.307072,14.91188475,.00027359,97.7359,44.5173,207.9464,152.1608,0,U,68982,999,349,.14690247E-3,.1404E-4,0
IRIDE-MS2-HEO-11,2026-100D,2026-05-26T22:49:24.882816,14.91303188,.00029752,97.7405,44.7925,188.0673,172.0498,0,U,68983,999,353,.15325219E-3,.1471E-4,0
IRIDE-MS2-HEO-12,2026-100E,2026-05-26T16:27:23.863104,14.91103266,.00031618,97.7365,44.5167,207.7052,152.3999,0,U,68984,999,349,.14385261E-3,.1371E-4,0
IRIDE-MS2-HEO-13,2026-100F,2026-05-26T16:14:34.894464,14.91674783,.00020856,97.7393,44.5330,151.7337,208.3995,0,U,68985,999,349,.15718577E-3,.1525E-4,0
IRIDE-MS2-HEO-14,2026-100G,2026-05-26T16:12:39.197952,14.91760896,.00018359,97.7386,44.5335,141.1225,219.0126,0,U,68986,999,349,.16107933E-3,.1568E-4,0
IRIDE-MS2-HEO-15,2026-100H,2026-05-26T22:39:42.186528,14.91731709,.00016557,97.7363,44.7916,143.2114,216.9219,0,U,68987,999,353,.16641665E-3,.162E-4,0
CAS500-2 RIDESHARE OBJECT J,2026-100J,2026-05-26T16:39:22.957344,14.90568419,.00055723,97.7367,44.5067,211.2835,148.8052,0,U,68988,999,349,.11400359E-3,.106E-4,0
CAS500-2 RIDESHARE OBJECT K,2026-100K,2026-05-26T16:35:01.309632,14.90772112,.0005441,97.7418,44.5170,192.5139,167.5945,0,U,68989,999,349,.18695079E-3,.1783E-4,0
PEARL-1A,2026-100L,2026-05-26T16:32:08.399040,14.90892883,.00039979,97.7335,44.5078,223.4888,136.6015,0,U,68990,999,349,.15007481E-3,.1425E-4,0
YAM-11,2026-100M,2026-05-26T11:36:50.649984,14.91063517,.00024473,97.7389,44.3242,191.4806,168.6357,0,U,68991,999,346,.15366413E-3,.1466E-4,0
YAM-16,2026-100N,2026-05-26T22:48:07.773408,14.91361344,.00026322,97.7394,44.7908,187.2662,172.8519,0,U,68992,999,353,.16304191E-3,.1571E-4,0
YAM-13,2026-100P,2026-05-26T16:16:34.391712,14.92012978,.00029482,97.7362,44.5294,146.7369,213.4036,0,U,68993,999,349,.16513524E-3,.1619E-4,0
NULINK-2,2026-100Q,2026-05-26T22:25:11.721216,14.92403395,.00026235,97.7360,44.8053,62.8461,297.3026,0,U,68994,999,353,.47852602E-3,.4846E-4,0
ICEYE-X78,2026-100R,2026-05-26T16:15:34.983072,14.91649990,.0002241,97.7393,44.5319,156.6409,203.4912,0,U,68995,999,349,.27248646E-3,.2683E-4,0
ICEYE-X82,2026-100S,2026-05-26T22:52:30.690336,14.91183462,.00032915,97.7384,44.7843,197.2909,162.8198,0,U,68996,999,353,.20165832E-3,.1948E-4,0
YAM-15,2026-100T,2026-05-26T16:15:58.437216,14.92086432,.00028925,97.7358,44.5283,142.4748,217.6674,0,U,68997,999,349,.177469E-3,.1747E-4,0
CAS500-2 RIDESHARE OBJECT U,2026-100U,2026-05-26T16:08:25.766880,14.91922947,.00028353,97.7416,44.5423,125.1801,234.9684,0,U,68998,999,349,.12936063E-3,.1253E-4,0
CAS500-2 RIDESHARE OBJECT V,2026-100V,2026-05-26T16:00:01.999584,14.91809867,.00021255,97.7370,44.5192,175.4832,132.6738,0,U,68999,999,211,.42275465E-2,.42837E-3,0
GEMINI-POLLUX,2026-100W,2026-05-26T20:54:05.845536,14.92136730,.00013328,97.7347,44.7336,52.4334,307.7006,0,U,69000,999,352,.21697196E-3,.2151E-4,0
CAS500-2 RIDESHARE OBJECT X,2026-100X,2026-05-26T22:53:10.716000,14.91035073,.0003122,97.7375,44.7815,197.3012,162.8101,0,U,69001,999,352,.16308311E-3,.1559E-4,0
NULINK-1,2026-100Y,2026-05-26T15:55:39.705600,14.92530614,.00034121,97.7377,44.5474,69.1013,291.0571,0,U,69002,999,348,.19050982E-3,.1901E-4,0
YAM-12,2026-100Z,2026-05-26T22:40:31.080288,14.91244434,.00011795,97.7418,44.7916,144.2679,215.8619,0,U,69003,999,352,.17497897E-3,.1685E-4,0
GEN1A-1,2026-100AA,2026-05-26T16:53:38.262048,15.20019382,.00061635,97.4073,44.9074,89.4542,270.7400,0,U,69004,999,355,.14362755E-3,.3028E-4,0
GEN1A-2,2026-100AB,2026-05-26T16:50:47.440608,15.20150527,.00070418,97.4062,44.9020,92.6383,267.5658,0,U,69005,999,355,.13889255E-3,.2938E-4,0
JEN-1,2026-100AC,2026-05-26T23:14:18.604032,15.19989675,.00059966,97.4076,45.1652,85.4811,274.7109,0,U,69006,999,358,.24867491E-3,.5289E-4,0
BRO-21,2026-100AD,2026-05-26T16:25:41.553408,15.21298466,.00094084,97.4070,44.9298,122.7292,237.4852,0,U,69007,999,353,.15802534E-3,.3469E-4,0
YAM-14,2026-100AE,2026-05-26T16:26:37.842144,14.91033484,.00031248,97.7371,44.5181,201.5693,158.5394,0,U,69008,999,348,.15159871E-3,.1445E-4,0
CAS500-2 RIDESHARE OBJECT AF,2026-100AF,2026-05-26T17:04:33.263904,15.19676959,.00067814,97.4069,44.8941,67.2304,292.9647,0,U,69009,999,354,.53597903E-3,.11384E-3,0
DRISHTI,2026-100AG,2026-05-26T23:05:49.920576,15.20327161,.0007102,97.4067,45.1665,99.5692,260.6347,0,U,69010,999,358,.13403261E-3,.2847E-4,0
CAS500-2 RIDESHARE OBJECT AH,2026-100AH,2026-05-26T16:45:20.126304,15.20407598,.00064548,97.4075,44.9154,103.7118,256.4836,0,U,69011,999,354,.21649868E-3,.4652E-4,0
JACKAL-004,2026-100AJ,2026-05-26T16:43:17.230944,15.20502889,.00072215,97.4067,44.9117,104.4614,255.7423,0,U,69012,999,354,.17480779E-3,.3754E-4,0
CAS500-2,2026-100AK,2026-05-26T16:45:10.207584,15.20433231,.00092795,97.4100,44.9222,94.6228,265.6067,0,U,69013,999,354,.29551459E-3,.6385E-4,0
CAS500-2 RIDESHARE OBJECT AL,2026-100AL,2026-05-26T22:51:54.232992,15.20972077,.00075689,97.4093,45.1944,122.1511,238.0460,0,U,69014,999,358,.19302146E-3,.421E-4,0
FRONTIERSAT,2026-100AM,2026-05-26T22:46:49.799136,15.21285432,.00101435,97.4030,45.1660,112.4373,247.7938,0,U,69015,999,359,.41921256E-3,.9321E-4,0
RAVEN,2026-100AN,2026-05-26T22:46:05.163168,15.21223625,.00095282,97.4058,45.1813,118.3268,241.8930,0,U,69016,999,358,.13520039E-3,.2951E-4,0
PELICAN-7,2026-100AP,2026-05-26T10:28:03.027360,15.20738945,.00033904,97.4042,44.6556,86.6182,273.5441,0,U,69017,999,350,.15029023E-4,.263E-5,0
EDDA-1,2026-100AQ,2026-05-26T16:50:08.903616,15.20174053,.00063784,97.4072,44.9099,95.1706,265.0257,0,U,69018,999,355,.12456001E-3,.2629E-4,0
PELICAN-9,2026-100AR,2026-05-26T16:46:48.328608,15.20378155,.0006747,97.4067,44.9075,98.5524,261.6476,0,U,69019,999,354,.13597417E-3,.2894E-4,0
SELENE,2026-100AS,2026-05-26T17:04:52.548384,15.19596198,.0005951,97.4069,44.8935,67.1391,293.0471,0,U,69020,999,354,.38835666E-3,.8206E-4,0
HELIOS,2026-100AT,2026-05-26T17:02:45.949920,15.19686872,.0006617,97.4054,44.8876,71.1787,289.0166,0,U,69021,999,354,.40501439E-3,.8585E-4,0
HYDRA-3,2026-100AU,2026-05-26T17:02:14.794080,15.19651447,.00068547,97.4052,44.8875,73.4962,286.7026,0,U,69022,999,354,.28317494E-3,.5974E-4,0
QUBE-II,2026-100AV,2026-05-26T16:59:09.725280,15.19858500,.00050334,97.4096,44.9126,77.9088,282.2711,0,U,69023,999,354,.36620713E-3,.7792E-4,0
BALKAN-2,2026-100AW,2026-05-26T16:58:34.744512,15.19837210,.00050678,97.4093,44.9132,80.4083,279.7724,0,U,69024,999,354,.24709234E-3,.5231E-4,0
STARLINK-37592,2026-101A,2026-05-26T22:00:01.999584,15.69590387,.00017035,97.2842,1.7339,99.0326,160.8314,0,U,69025,999,453,-.18081803E-1,-.1856455E-1,0
STARLINK-37637,2026-101B,2026-05-26T22:00:01.999584,15.62527074,.00018567,97.2845,1.7182,90.8418,124.4040,0,U,69026,999,453,-.23321147E-1,-.1842811E-1,0
STARLINK-37548,2026-101C,2026-05-26T22:00:01.999584,15.68446676,.00017126,97.2842,1.7377,93.5350,174.3494,0,U,69027,999,451,-.18923407E-1,-.189015E-1,0
STARLINK-37634,2026-101D,2026-05-26T22:16:53.532768,15.73932364,.0001882,97.2837,1.7617,75.5763,284.5710,0,U,69028,999,329,-.49926375E-2,-.653989E-2,0
STARLINK-37635,2026-101E,2026-05-26T22:00:01.999584,15.71644368,.00016696,97.2838,1.7497,95.2040,200.6201,0,U,69029,999,451,-.1659382E-1,-.1857196E-1,0
STARLINK-37615,2026-101F,2026-05-26T22:00:01.999584,15.71721883,.00017199,97.2837,1.7530,104.9548,199.0972,0,U,69030,999,454,-.16476469E-1,-.1851098E-1,0
